"","StackID","sampleNUM","symClade","symTreat","hostStage","timepoint","confocal","Edu","size","offscreen","sym.count","damage","stage","filter","notes","sym.size","Edu.size","Edu.size.simple","Edu.size.quantnorm","Edu.simple","Edu.quantnorm","sym.count.log","Edu.size.sqrt"
"1","101A",101,"B","32","larv","9","old",5247.956,313434.823,"no",415,"","larv","","",0.00132403922457589,0.0167433725128876,0.00433103073799741,0.0221801047554048,-380.79211998384,6968.55504121965,2.61804809671209,0.12939618430575
"2","101B",101,"B","32","larv","9","old",3318.489,301387.883,"no",97,"","larv","","",0.000321844392131717,0.0110106914948535,-0.00140165028003673,0.016068553197547,-2310.25911998384,5729.2368715415,1.98677173426624,0.104931842139808
"3","101F",101,"B","32","larv","9","new",NA,260655.775,"no",NA,"","larv","","",NA,NA,NA,NA,NA,NA,NA,NA
"4","102E",102,"B","32","larv","9","new",36424.52,253202.005,"no",443,"","larv","","",0.00174959120090696,0.143855574919322,0.156267916694212,0.165662791836793,42053.2681199838,51829.0679417249,2.64640372622307,0.379282974729056
"5","102F",102,"B","32","larv","9","new",31756.65,265556.696,"no",331,"","larv","","",0.00124643816174005,0.119585197731184,0.131997539506075,0.137202889049218,37385.3981199838,43701.4298951049,2.51982799377572,0.345810927720892
"6","102G",102,"B","32","larv","9","new",28176.85,311783.059,"no",443,"","larv","","",0.00142085975235749,0.090373255334569,0.102785597109459,0.11206415504605,33805.5981199838,35269.1762997003,2.64640372622307,0.300621448560426
"7","102H",102,"B","32","larv","9","new",30495.89,324044.53,"no",301,"","larv","","",0.000928884681373884,0.0941101829430665,0.106522524717957,0.116920970378618,36124.6381199838,37356.7966535132,2.47856649559384,0.306773830277399
"8","106B",106,"C","25","larv","9","old",7264.27,271244.338,"no",21,"","larv","","",7.74209709033632e-05,0.0267812779192464,0.0143689361443561,0.0289475549991846,1635.52188001616,8274.05659514399,1.32221929473392,0.163649863792325
"9","10B",10,"A","32","larv","3","old",52679.467,369568.627,"yes",59,"","larv","","",0.000159645585933354,0.142543125014776,0.130130783239885,0.118601614751906,47050.7188800162,42142.5182092038,1.77085201164214,0.377548837920044
"10","10C",10,"A","32","larv","3","old",30198.666,367579.186,"no?",8,"","larv","","",2.17640179441499e-05,0.0821555385891736,0.0697431968142833,0.0661022045616933,24569.9178800162,23555.2864150198,0.903089986991944,0.286627874759545
"11","10G",10,"A","32","larv","3","new",NA,343749.073,"no",6,"","larv","","6 syms",1.74545925248212e-05,NA,NA,NA,NA,NA,0.778151250383644,NA
"12","10H",10,"A","32","larv","3","new",11942.04,382773.043,"no",1,"","larv","","1 sym",2.61251417331392e-06,0.0311987487582818,0.043611090533172,0.0282484136777643,17570.7881199838,12200.8013286713,0,0.176631675410391
"13","10I",10,"A","32","larv","3","new",NA,349184.097,"no",11,"","larv","","~10 syms",3.15020073780737e-05,NA,NA,NA,NA,NA,1.04139268515823,NA
"14","118B",118,"D","25","larv","9","old",36172.5,230406.15,"no",NA,"Y","larv","","redid Edu and Hoechst, blocking out problem areas, set sym count (175) to NA",NA,0.156994507308073,0.144582165533183,0.139060133001153,30543.7518800162,29435.7466369283,NA,0.396225323910617
"15","118F",118,"D","25","larv","9","new",84806.49,234622.934,"no",225,"","larv","","ZOOMED OUT",0.000958985535489041,0.361458654335982,0.373870996110873,0.313150183999137,90435.2381199838,92346.3715,2.35218251811136,0.601214316476232
"16","118G",118,"D","25","larv","9","new",49040.66,229091.43,"no",629,"","larv","","ZOOMED OUT",0.00274562867759828,0.214065886270822,0.226478228045712,0.224423767254799,54669.4081199838,59015.516537296,2.79865064544527,0.462672547565578
"17","119D",119,"D","25","larv","9","new",6766.08,271272.144,"no",251,"","larv","","",0.000925270085969461,0.0249420375429333,0.0373543793178235,0.0193207797554702,12394.8281199838,4549.6319955045,2.39967372148104,0.157930483260621
