Glycan Types,Glycan family,Glycan,Hex-Nac,Hex,Fuc,NeuAc,NeuGc,Breviolum minitum_25C_1,Breviolum minitum_25C_2,Breviolum minitum_25C_3,Breviolum minitum_32C_1,Breviolum minitum_32C_2,Breviolum minitum_32C_3,Durusdinium trenchii_25C_1,Durusdinium trenchii_25C_2,Durusdinium trenchii_25C_3,Durusdinium trenchii_32C_1,Durusdinium trenchii_32C_2,Durusdinium trenchii_32C_3,Symbiodinium microadriaticum_25C_1,Symbiodinium microadriaticum_25C_2,Symbiodinium microadriaticum_25C_3,Symbiodinium microadriaticum_32C_1,Symbiodinium microadriaticum_32C_2,Symbiodinium microadriaticum_32C_3,Cladocopium goreaui_25C_1,Cladocopium goreaui_25C_2,Cladocopium goreaui_25C_3,Cladocopium goreaui_32C_1,Cladocopium goreaui_32C_2
NeuGc,H,3-4-0-0-1,3,4,0,0,1,1.67E+05,2.83E+05,4.15E+05,3.01E+05,9.99E+04,3.94E+06,6.56E+04,3.66E+04,1.97E+05,7.13E+03,1.23E+05,3.20E+04,1.10E+06,1.34E+06,3.94E+04,6.96E+05,6.67E+05,1.83E+05,1.14E+06,0.00E+00,4.69E+04,2.27E+05,4.14E+04
NeuGc,H,3-5-0-0-1,3,5,0,0,1,0.00E+00,6.79E+05,9.43E+05,0.00E+00,2.38E+04,1.69E+06,0.00E+00,4.14E+04,4.22E+05,0.00E+00,2.97E+05,3.76E+04,0.00E+00,7.25E+05,0.00E+00,0.00E+00,4.68E+05,2.60E+05,6.34E+05,0.00E+00,0.00E+00,1.59E+05,6.73E+04
NeuGc,C,4-4-0-0-1,4,4,0,0,1,0.00E+00,2.21E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.64E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NeuGc,H,4-7-0-0-1,4,7,0,0,1,4.33E+04,0.00E+00,0.00E+00,4.82E+03,0.00E+00,0.00E+00,6.68E+03,0.00E+00,0.00E+00,3.99E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NeuGc,C,5-6-0-0-1,5,6,0,0,1,2.44E+06,1.07E+05,3.39E+05,2.10E+05,9.63E+04,1.48E+06,1.66E+04,4.47E+04,2.47E+04,1.35E+03,0.00E+00,2.78E+04,3.60E+04,1.29E+07,0.00E+00,5.06E+04,8.88E+05,1.16E+06,3.99E+05,2.53E+04,3.50E+04,1.20E+05,2.91E+04
NeuGc,C,5-6-0-0-3,5,6,0,0,3,1.45E+06,0.00E+00,8.87E+04,1.06E+05,4.68E+04,1.63E+06,1.11E+04,4.41E+04,3.97E+04,2.24E+03,1.21E+05,2.83E+04,0.00E+00,7.18E+04,0.00E+00,1.31E+04,0.00E+00,4.07E+04,1.59E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NeuGc,C,6-6-0-0-3,6,6,0,0,3,2.53E+06,0.00E+00,0.00E+00,6.03E+04,0.00E+00,0.00E+00,1.11E+06,0.00E+00,0.00E+00,2.93E+04,0.00E+00,0.00E+00,6.38E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NeuGc,C,6-7-0-0-1,6,7,0,0,1,1.96E+06,0.00E+00,0.00E+00,1.34E+04,0.00E+00,0.00E+00,2.41E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E+04,0.00E+00,0.00E+00,9.52E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fucosylated & NeuGc,H,3-5-1-0-1,3,5,1,0,1,0.00E+00,0.00E+00,1.19E+05,0.00E+00,0.00E+00,1.37E+05,0.00E+00,0.00E+00,7.96E+04,0.00E+00,5.34E+04,5.44E+04,0.00E+00,6.45E+06,3.26E+04,0.00E+00,2.95E+06,2.79E+06,8.69E+05,0.00E+00,7.29E+04,2.17E+05,3.10E+04
Fucosylated & NeuGc,C,4-4-1-0-1,4,4,1,0,1,3.72E+05,0.00E+00,9.04E+04,1.31E+05,0.00E+00,1.88E+06,9.43E+05,0.00E+00,0.00E+00,7.47E+04,0.00E+00,0.00E+00,2.20E+04,0.00E+00,0.00E+00,1.87E+03,0.00E+00,8.52E+04,0.00E+00,1.46E+05,0.00E+00,0.00E+00,0.00E+00
Fucosylated & NeuGc,H,4-6-1-0-1,4,6,1,0,1,1.16E+06,0.00E+00,0.00E+00,3.22E+04,0.00E+00,0.00E+00,2.15E+04,0.00E+00,0.00E+00,2.29E+03,0.00E+00,0.00E+00,7.82E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fucosylated & NeuGc,H,4-6-1-0-2,4,6,1,0,2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fucosylated & NeuGc,C,6-6-1-0-1,6,6,1,0,1,0.00E+00,3.92E+06,8.00E+05,0.00E+00,3.31E+04,3.51E+06,0.00E+00,0.00E+00,2.83E+04,0.00E+00,6.78E+04,1.06E+04,0.00E+00,1.21E+05,0.00E+00,0.00E+00,1.59E+05,8.79E+04,3.61E+05,2.20E+04,0.00E+00,3.63E+04,0.00E+00
Fucosylated & NeuGc,C,6-7-1-0-1,6,7,1,0,1,1.04E+06,0.00E+00,0.00E+00,2.68E+05,0.00E+00,0.00E+00,1.98E+06,0.00E+00,0.00E+00,5.33E+04,0.00E+00,0.00E+00,4.12E+05,0.00E+00,0.00E+00,1.15E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fucosylated & NeuGc,C,6-7-1-0-2,6,7,1,0,2,1.06E+07,0.00E+00,0.00E+00,6.13E+05,0.00E+00,0.00E+00,7.98E+06,0.00E+00,0.00E+00,9.18E+04,0.00E+00,0.00E+00,1.59E+05,0.00E+00,0.00E+00,2.01E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fucosylated & NeuGc,C,7-5-1-0-1,7,5,1,0,1,0.00E+00,1.91E+05,7.32E+06,0.00E+00,1.19E+07,4.78E+06,0.00E+00,3.99E+05,1.96E+06,0.00E+00,0.00E+00,3.07E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E+05,7.71E+04,1.69E+05,4.43E+03,0.00E+00,4.57E+05,1.71E+05
Fucosylated & NeuGc,C,7-6-1-0-1,7,6,1,0,1,6.51E+07,2.59E+04,0.00E+00,1.10E+07,0.00E+00,4.83E+04,1.80E+07,0.00E+00,0.00E+00,2.04E+05,0.00E+00,3.53E+04,7.98E+04,5.65E+04,0.00E+00,1.40E+04,0.00E+00,0.00E+00,6.03E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fucosylated & NeuGc,C,7-8-1-0-1,7,8,1,0,1,0.00E+00,1.29E+05,2.02E+06,0.00E+00,7.61E+05,3.23E+06,0.00E+00,0.00E+00,3.60E+05,0.00E+00,4.55E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E+05,0.00E+00,0.00E+00,0.00E+00,1.77E+04,5.41E+04,3.91E+05
Fucosylated & NeuGc,C,7-9-1-0-1,7,9,1,0,1,0.00E+00,3.44E+04,1.66E+06,0.00E+00,2.85E+04,2.37E+06,0.00E+00,2.78E+04,1.68E+04,0.00E+00,2.13E+04,0.00E+00,0.00E+00,0.00E+00,4.41E+04,0.00E+00,1.50E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.91E+04
Fucosylated & NeuGc,C,8-5-1-0-1,8,5,1,0,1,0.00E+00,4.56E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.06E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
